ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Kwon S.W.,Nishioka Y.,53,81.0,1115,823.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.7,2.26,1.76,2.5,1.64,2.22
1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Monteiro T.,Altmaier D.,89,84.0,805,813.0,6.0,2.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.3,1.61,2.49,1.6,2.6,1.62,2.38,1.57
1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Djere L.,Carballes Baena R.,52,79.0,1131,837.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.66,2.2,1.81,2.1,1.83,2.26,1.7,2.12
1,Adelaide,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Johnson S.,Vukic A.,85,156.0,812,440.0,6.0,4.0,2.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.21,1.74,2.3,1.8,2.1,1.72
1,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Moutet C.,Rune H.,92,103.0,797,740.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.66,1.53,2.81,1.54,2.64,1.47
1,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Daniel T.,Musetti L.,125,59.0,584,1004.0,6.0,4.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,2.0,1.8,2.19,1.75,2.25,1.8,2.09,1.73
1,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Gerasimov E.,Fucsovics M.,113,40.0,665,1459.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.57,2.91,1.46,2.91,1.57,2.62,1.48
1,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Ymer M.,Bonzi B.,94,64.0,782,969.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.0,1.8,2.15,1.78,2.15,1.82,2.04,1.77
1,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Cerundolo J.M.,Bolt A.,90,137.0,803,506.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.87,1.47,3.32,1.47,2.89,1.41
1,Adelaide,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Paul T.,Vesely J.,43,83.0,1349,822.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.33,3.4,1.35,3.45,1.35,3.6,1.32,3.35
